IP Address,Process Name,Service Name,Country,Local Port,Remote Port,Process Path,Protocol
204.79.197.203,Widgets,a-0003.a-msedge.net,Canada,49693,443,C:\Program Files\WindowsApps\MicrosoftWindows.Client.WebExperience_524.18500.10.0_x64__cw5n1h2txyewy\Dashboard\Widgets.exe,TCP
204.79.197.203,Widgets,a-0003.a-msedge.net,Canada,49692,443,C:\Program Files\WindowsApps\MicrosoftWindows.Client.WebExperience_524.18500.10.0_x64__cw5n1h2txyewy\Dashboard\Widgets.exe,TCP
20.24.249.45,Idle,Unknown,Hong Kong,49691,443,,TCP
52.226.139.121,svchost,Unknown,United States,49689,443,C:\Windows\system32\svchost.exe,TCP
20.50.73.10,MpDefenderCoreService,Unknown,Ireland,49687,443,,TCP
23.58.197.164,Idle,a23-58-197-164.deploy.static.akamaitechnologies.com,Australia,49685,443,,TCP
20.42.65.88,Idle,Unknown,United States,49676,443,,TCP
,svchost,DESKTOP-8CIK9L4,Unknown,59467,,C:\Windows\system32\svchost.exe,TCP
,svchost,DESKTOP-8CIK9L4,Unknown,57962,,C:\Windows\system32\svchost.exe,TCP
,svchost,DESKTOP-8CIK9L4,Unknown,57961,,C:\Windows\system32\svchost.exe,TCP
,svchost,DESKTOP-8CIK9L4,Unknown,55989,,C:\Windows\system32\svchost.exe,TCP
,svchost,DESKTOP-8CIK9L4,Unknown,5355,,C:\Windows\system32\svchost.exe,TCP
,msedge,DESKTOP-8CIK9L4,Unknown,5353,,C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe,TCP
,svchost,DESKTOP-8CIK9L4,Unknown,1900,,C:\Windows\system32\svchost.exe,TCP
,svchost,DESKTOP-8CIK9L4,Unknown,1900,,C:\Windows\system32\svchost.exe,TCP
,svchost,DESKTOP-8CIK9L4,Unknown,546,,C:\Windows\system32\svchost.exe,TCP
,svchost,DESKTOP-8CIK9L4,Unknown,57964,,C:\Windows\system32\svchost.exe,TCP
,svchost,DESKTOP-8CIK9L4,Unknown,57963,,C:\Windows\system32\svchost.exe,TCP
,msedge,DESKTOP-8CIK9L4,Unknown,57296,,C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe,TCP
,svchost,DESKTOP-8CIK9L4,Unknown,51264,,C:\Windows\System32\svchost.exe,TCP
,svchost,DESKTOP-8CIK9L4,Unknown,5355,,C:\Windows\system32\svchost.exe,TCP
,svchost,DESKTOP-8CIK9L4,Unknown,5353,,C:\Windows\system32\svchost.exe,TCP
,svchost,DESKTOP-8CIK9L4,Unknown,5050,,C:\Windows\system32\svchost.exe,TCP
,svchost,DESKTOP-8CIK9L4,Unknown,1900,,C:\Windows\system32\svchost.exe,TCP
,svchost,DESKTOP-8CIK9L4,Unknown,1900,,C:\Windows\system32\svchost.exe,TCP
,System,DESKTOP-8CIK9L4,Unknown,138,,,TCP
,System,DESKTOP-8CIK9L4,Unknown,137,,,TCP


SUMMARY
Total TCP Connections: 81
Total UDP Connections: 0
Unique Countries Connected To: 13

